time,sat_id,az,el,pseudorange,carrier_phase,doppler,true_range,sat_x,sat_y,sat_z,sat_vx,sat_vy,sat_vz
1,932,4.632696096498913,17.01701015336004,1431423.1649725665,1431423.3479808662,2001.1707607646629,1431411.5735399849,1654322.9500481258,5745517.336414363,3510777.0372518697,-3902.371887417283,3988.200224013749,-4678.503385611743
1,933,92.01043140083286,14.982619901071049,1533195.8155646585,1533195.623443288,-2002.1164002139046,1533184.6345213167,475422.2717217195,6570724.4058076115,2164953.049228591,-4176.597173156614,2140.4221637346686,-5569.647994688734
1,954,25.647950539311747,14.539087780697901,1554261.0612658616,1554260.6084872182,1014.7313627748714,1554248.0993887496,1130415.7399701828,5881248.148961125,3493798.9046985507,-4239.044013335162,3608.722785797134,-4693.677884946539
1,1453,-61.74305119343004,13.624611912471993,1578810.3203886342,1578810.1606595833,781.3731775133282,1578794.0393794223,3099887.854217124,5471832.813202789,2892580.6407592245,-5146.053124112324,188.1652157688778,5168.386712566389
1,1475,-47.9122692521295,23.380595589249825,1162602.6538029315,1162602.5406561054,-26.005900581603075,1162592.0742620758,2591070.623655357,5720862.109635075,2911283.440431782,-5154.219619380356,-284.45592691655645,5155.751944912239
1,1496,-115.87107421546807,10.904449969366361,1739949.6861200498,1739949.6023841817,2724.6105794714167,1739930.6925549617,3407149.6131471065,5838259.756279187,1487520.4772568366,-4261.784970449889,1001.4884522270836,5840.309516816221
1,1497,-17.51276292297325,33.634108785709834,907678.8009204478,907678.3838875019,-1386.4496382171974,907671.0253000101,2062556.4423826232,5922752.163878613,2929940.3158934545,-5119.000677661009,-756.8790665199513,5143.035928882618
1,1518,-128.96019068993027,19.86285831730314,1285803.2422840865,1285803.2871586087,2808.6460210518944,1285791.3272989714,2868058.9159557777,6115956.37180198,1508668.768623126,-4345.159636619251,600.9064104054412,5833.7846107432615
1,1519,24.433688240372145,31.293394910825704,954716.6297943421,954716.4778768948,-2556.3760672998933,954709.5536728804,1518698.687600609,6075976.157594616,2948550.9731310015,-5040.510782706878,-1225.123716534491,5130.238866533
1,1540,-156.0446197229541,30.76497822785847,964810.2471407707,964810.5478832102,2585.724899198981,964802.5334720918,2306587.613158583,6343993.732818617,1529793.253420891,-4390.980610456006,193.60251782779716,5827.167671133941
1,1541,48.97448200387311,20.32923712035095,1269475.538714721,1269476.0537093796,-2809.5746066209886,1269466.9804664725,963964.2918323757,6179408.474304596,2967115.1188659994,-4919.2289668877675,-1685.2307869107303,5117.360961392876
1,1562,159.9507182305734,32.44052220755352,929739.363148189,929739.0192417369,1506.2945020883667,929732.2001893027,1727300.539761191,6520593.393172539,1550893.5983879284,-4398.728270471354,-216.91155812619164,5820.458803320712
1,1563,60.021820457259786,11.44215801233391,1707707.7301865947,1707708.1745057537,-2709.517396611821,1707694.2214916882,402899.77462235023,6232332.131651834,2985632.4605591106,-4755.996444142036,-2133.293574104263,5104.4024180801025
